Title,Price,M.R.P,Ratings,Link
Apple iPhone 13 (128GB) - Green,"₹52,990","₹59,900",4.6 out of 5 stars ,/sspa/click?ie=UTF8&spc=MTo1MzI4NjcyNTQ0ODQ5MDk0OjE3MTIyMTMxMTA6c3BfYXRmOjIwMDM0ODYzNTM2Nzk4OjowOjo&url=%2FApple-iPhone-13-128GB-Green%2Fdp%2FB09V4B6K53%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1712213110%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 15 (128 GB) - Black,"₹72,690","₹79,900",4.5 out of 5 stars ,/sspa/click?ie=UTF8&spc=MTo1MzI4NjcyNTQ0ODQ5MDk0OjE3MTIyMTMxMTA6c3BfYXRmOjMwMDA1NDM0NTk0NzYzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX1W1XY%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1712213110%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 15 (128 GB) - Blue,"₹72,690","₹79,900",4.5 out of 5 stars ,/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-3
Apple iPhone 13 (128GB) - Green,"₹52,990","₹59,900",4.6 out of 5 stars ,/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-4
Apple iPhone 14 (128 GB) - Blue,"₹58,999","₹79,900",4.5 out of 5 stars ,/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-5
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,37,990","₹1,44,900",4.2 out of 5 stars ,/Apple-iPhone-15-Pro-256/dp/B0CHX5J2ND/ref=sr_1_6?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-6
Apple iPhone 15 Plus (128 GB) - Black,"₹80,990","₹89,900",4.5 out of 5 stars ,/Apple-iPhone-15-Plus-128/dp/B0CHXCR9CX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-7
Apple iPhone 15 (128 GB) - Green,"₹72,690","₹79,900",4.5 out of 5 stars ,/Apple-iPhone-15-128-GB/dp/B0CHX6NQMD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-8
Apple iPhone 14 (128 GB) - Midnight,"₹58,999","₹69,900",4.5 out of 5 stars ,/Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_9?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-9
Apple iPhone 15 (128 GB) - Black,"₹72,690","₹79,900",4.5 out of 5 stars ,/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDaUDXyysoFiRV-k5aOqFu3oxCiQ1wl0Trb_U3Wrc-elyftqQxG82aeiH3bUzW5dOUcVbOd_ZGTekZwUUSIw8ZoRFR8--iBk1wiIhwxhRF4qAeyUGcL-bdEXidLDAS1wMTMvYXNfH315pT7ICM-lSN292YlUP15bLGrHNf45S1XhaEwBVhjDF7BVmX9DeOiUALPKHLSRORrd4xpIyj6OCB6Y.ALH2oSrWXqZctrWNvIuPnpkzFZgf1YtkQR5-hTvxwg4&dib_tag=se&keywords=iphone&qid=1712213110&sr=8-10
