Title,Price,M.R.P,Ratings
"Samsung Galaxy M15 5G (Stone Grey,4GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | Super AMOLED Display| Add to Cart and Get Travel Adapter at No Cost","₹13,299","₹15,999",2.5 out of 5 stars 
"Samsung Galaxy M55 5G (Light Green,8GB RAM,256GB Storage) | 50MP Triple Cam| 5000mAh Battery| Snapdragon 7 Gen 1 | 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED+ Display","₹29,999","₹31,999",2.0 out of 5 stars 
"Samsung Galaxy M14 4G (Arctic Blue,6GB,128GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 12GB RAM with RAM Plus | Without Charger","₹11,999","₹16,999",4.0 out of 5 stars 
"Samsung Galaxy M15 5G (Celestial Blue,6GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+|Super AMOLED Display| Add to Cart and Get Travel Adapter at No Cost","₹14,799","₹16,999",2.5 out of 5 stars 
"Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger","₹8,999","₹13,999",4.0 out of 5 stars 
Spigen PE2213 35W GaN PPS Single Port Fast Wall Charger Compatible with All C Type Mobile Phones and Devices (Improved Version) - Black,"₹8,999","₹13,999",4.1 out of 5 stars 
"Samsung Galaxy M14 4G (Arctic Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger","₹13,299","₹15,999",4.0 out of 5 stars 
"Samsung Galaxy M15 5G (Stone Grey,4GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | Super AMOLED Display| Add to Cart and Get Travel Adapter at No Cost","₹17,999","₹25,999",2.5 out of 5 stars 
"Samsung Galaxy M34 5G (Waterfall Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","₹30,999","₹33,999",4.0 out of 5 stars 
"Samsung Galaxy A35 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster","₹33,999","₹36,999",3.5 out of 5 stars 
"Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster","₹12,999","₹17,999",3.5 out of 5 stars 
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,"₹17,999","₹20,999",4.0 out of 5 stars 
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera","₹26,499","₹39,499",3.6 out of 5 stars 
"Samsung Galaxy A34 5G (Awesome Violet, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately","₹12,770","₹18,490",4.1 out of 5 stars 
"Samsung F14 5G (OMG Black, 6GB RAM, 128GB Storage)","₹36,399","₹85,999",4.0 out of 5 stars 
"Samsung Galaxy S22 5G (Green, 8GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹15,999","₹20,999",4.3 out of 5 stars 
"Samsung Galaxy A14 5G (Light Green, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger","₹7,499","₹13,499",3.9 out of 5 stars 
"Samsung Galaxy A03s (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹13,499","₹18,499",3.7 out of 5 stars 
"Samsung Galaxy A14 5G (Light Green, 4GB, 64GB Storage) | Triple Rear Camera (50 MP Main) | Upto 8 GB RAM with RAM Plus | Without Charger","₹22,499","₹24,499",3.9 out of 5 stars 
"Samsung Galaxy A15 5G (Blue Black, 8GB, 256GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery","₹22,479","₹35,999",3.7 out of 5 stars 
"Samsung Galaxy F54 5G (Stardust Silver, 256 GB) (8 GB RAM)","₹6,799","₹7,799",3.9 out of 5 stars 
"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","₹8,999","₹10,499",4.1 out of 5 stars 
"TECNO Spark 20C | Magic Skin Green, (16GB*+128GB) | 50MP Main Camera + 8MP Selfie | 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS | 5000mAh Battery |18W Type-C | Helio G36 Processor","₹1,649","₹1,999",4.2 out of 5 stars 
Spigen PE2008 30W Fast GaN 1-Port Fast iPhone Charger Compatible with All C Type Mobile Phones and Devices - Black,N/A,N/A,4.4 out of 5 stars 
